serial_no,race,education,income,gender,age
0012635,01,12,030000,2,38
0012635,47,06,002000,1,17
0012635,47,03,,2,11
0012669,47,09,000000,2,68
0012669,47,09,000000,1,69
0012706,47,11,090000,1,58
0012706,47,09,024000,2,54
0012755,47,11,000000,2,79
0012988,47,11,030000,2,47
0012988,47,13,032000,1,39
0012991,47,11,017000,1,22
0012991,47,11,009000,2,20
0013145,47,14,100000,1,56
0013145,47,15,050000,2,53
0013374,47,15,000000,2,73
0013374,47,12,017700,2,27
0013426,47,11,000000,2,56
0013441,47,13,051000,2,45
0013441,47,11,001500,1,23
0013448,47,11,048000,1,47
0013448,47,14,036500,2,48
0013448,47,02,000000,2,29
0013448,47,08,007000,1,18
0013448,47,06,000000,1,16
0013448,47,02,,1,08
0013577,47,01,046200,1,61
0013577,47,01,006900,2,49
0013577,47,12,035000,2,29
0013685,47,15,000000,1,43
0013685,47,13,000000,2,44
0013685,47,05,000000,2,16
0013685,47,02,,1,11
0013713,47,11,042100,2,53
0013713,47,09,028000,2,30
0013763,47,11,000000,1,82
0013763,47,09,000000,2,82
0013778,47,14,000000,1,61
0013778,47,14,066000,2,55
0013868,47,09,000000,2,93
0013949,47,09,023300,1,41
0013949,47,11,033800,2,40
0013949,47,01,,2,04
0013949,47,00,,2,01
0013992,01,06,006000,2,24
0013992,01,02,,2,07
0013992,01,01,,1,06
0013992,01,01,,1,04
0013992,01,00,,2,00
0014082,47,13,079000,2,38
0014089,47,09,000000,1,35
0014202,37,07,004600,1,17
0014645,47,12,002000,2,44
0014645,47,09,006000,1,44
0014693,47,11,000000,1,49
0014693,47,09,000000,2,39
0014693,47,04,,1,13
0014693,47,03,,2,11
0014693,47,02,,1,08
0014693,47,16,019000,2,69
0014719,37,06,008000,2,21
0014719,37,00,,1,02
0014821,47,09,052000,1,40
0014821,47,09,009000,2,36
0014821,47,02,,1,09
0014821,47,02,,1,08
0014821,47,09,000000,2,78
0014976,47,07,035000,1,38
0014976,47,09,015000,2,31
0014976,47,02,,1,10
0014976,47,02,,1,05
0014995,47,14,060000,2,55
0014995,47,14,000000,1,56
0014995,47,09,000000,2,86
0015064,47,04,000000,2,82
0015084,47,09,036400,1,30
0015084,47,13,001700,2,29
0015084,47,00,,2,01
0015165,47,13,040000,1,29
0015165,47,13,065000,2,28
0015165,47,00,,2,02
0015298,47,11,002100,2,20
0015384,47,11,095000,1,52
0015384,47,13,014900,2,53
0015384,47,06,000000,2,17
0015394,47,09,000000,2,66
0015395,47,11,049000,1,31
0015395,47,11,001100,2,30
0015395,47,02,,1,09
0015395,47,02,,2,08
0015395,47,02,,1,05
0015405,47,13,046000,2,24
0015443,47,14,045000,1,39
0015443,47,16,040000,2,42
0015443,47,02,,1,09
0015443,47,02,,1,04
0015445,71,14,024400,1,30
0015480,37,09,021000,2,40
0015480,37,09,000000,1,46
0015480,37,04,,1,14
0015687,47,12,036000,2,55
0015687,47,09,000000,2,76
0016090,47,13,100000,1,53
0016090,47,13,000000,2,51
0016115,47,14,101000,1,52
0016115,47,13,055000,2,51
0016115,47,04,,1,13
0016115,47,02,,1,10
0016190,47,09,065000,1,50
0016190,47,15,023000,2,50
0016190,47,09,002000,2,26
0016190,47,09,030000,2,23
0016190,37,02,,2,04
0016233,47,09,000000,1,86
0016233,47,09,000000,2,83
0016248,37,09,032000,2,30
0016461,47,06,015600,1,21
0016487,47,06,013000,1,41
0016535,47,10,039000,2,26
0016542,47,09,021000,1,38
0016542,47,02,,2,05
0016559,47,14,038000,2,40
0016559,37,11,026000,1,36
0016794,47,13,020600,2,47
0016794,47,04,000000,1,15
0016795,47,11,129000,2,37
0016795,47,13,050000,2,37
0016935,47,15,342000,1,53
0016935,47,13,000000,2,51
0016939,47,07,000000,1,30
0017009,47,13,080000,1,37
0017009,47,14,049000,2,38
0017009,47,02,,1,08
0017009,47,02,,2,03
0017010,37,09,010000,1,19
0017022,47,13,065000,1,28
0017022,47,14,042000,2,27
0017091,47,12,150000,1,49
0017091,47,08,010000,2,49
0017091,47,05,002000,1,22
0017161,47,05,032000,2,72
0017161,47,09,021500,2,43
0017161,47,09,030500,1,36
0017169,47,09,000000,2,82
0017220,47,13,060000,1,38
0017220,47,13,047500,2,36
0017220,47,02,,1,04
0017220,47,00,,1,01
0017229,47,07,004100,2,31
0017229,47,03,,1,11
0017229,47,02,,2,08
0017229,47,01,,2,04
0017229,47,00,,1,00
0017290,47,11,045000,1,35
0017375,47,06,000000,1,73
0017375,47,09,000000,2,68
0017616,37,04,,1,13
0017625,47,12,028900,2,61
0017734,47,14,000000,1,48
0017734,47,13,000000,2,39
0017734,47,02,,2,10
0017734,47,02,,1,05
0017792,47,09,040200,1,55
0017792,47,09,019500,2,55
0017825,47,13,064000,1,32
0017944,47,13,060000,1,29
0017944,47,13,000500,2,29
0017944,47,00,,1,01
0017951,47,11,000000,2,64
0018125,47,12,073000,1,42
0018125,47,13,029700,2,40
0018125,47,01,,1,03
0018132,37,09,000000,2,73
0018223,47,09,000000,2,74
0018288,47,15,090000,1,49
0018288,47,14,040000,2,48
0018288,47,07,000000,2,17
0018288,47,04,000000,2,15
0018464,47,09,000000,1,19
0018644,47,11,000000,1,83
0018655,47,10,025100,1,42
0018757,47,06,000000,1,80
0018757,47,05,000000,2,71
0018772,47,12,080000,2,41
0018772,47,09,038000,1,45
0018783,47,09,000000,1,74
0018783,47,08,000000,2,79
0018848,01,08,000000,1,33
0019021,47,14,104000,1,58
0019021,47,14,057000,2,52
0019030,47,13,015000,1,51
0019030,47,13,018700,2,49
0019222,47,13,040000,1,52
0019222,47,14,065000,2,46
0019324,47,10,043000,1,43
0019324,47,09,000000,2,43
0019324,47,02,,2,09
0019324,47,02,,1,07
0019324,47,08,016000,2,22
0019324,47,00,,2,01
0019400,47,14,033000,2,61
0019400,47,02,,2,09
0019700,47,13,000000,1,58
0019700,47,13,000000,2,43
0019700,47,04,000000,2,15
0019700,47,03,,2,13
0019748,47,03,000000,2,85
0020032,47,08,000000,1,58
0020032,47,09,000000,2,57
0020032,47,09,035000,2,27
0020071,47,05,000000,2,16
0020114,47,09,010000,2,37
0020114,47,05,000000,2,15
0020114,47,04,,1,13
0020114,47,09,040000,2,36
0020115,47,10,012000,1,60
0020120,47,11,065000,1,49
0020120,47,12,012000,2,45
0020120,47,04,,1,14
0020121,47,09,070000,1,40
0020121,47,09,021000,2,37
0020121,47,06,001000,1,16
0020121,47,03,,1,11
0020161,47,13,060000,1,29
0020161,47,13,000000,2,29
