serial_no,race,education,income,gender,age
0011331,47,10,002400,2,55
0011348,47,09,018000,1,42
0011348,47,11,024000,2,38
0011348,47,07,001000,1,18
0011348,47,04,000000,1,15
0011348,47,04,000000,1,15
0011586,47,09,016000,2,83
0011586,47,01,007600,2,36
0011602,47,11,049000,1,53
0011602,47,09,020000,2,51
0011602,47,10,042000,1,28
0011712,37,02,,1,10
0011779,47,09,000000,2,68
0011853,47,10,033000,1,51
0011853,47,12,017600,2,44
0011878,47,11,034700,1,36
0011878,47,13,058000,2,30
0011878,47,00,,2,00
0011879,47,10,050000,1,43
0011879,47,12,035000,2,37
0011879,47,05,000000,1,16
0011879,47,03,,1,11
0011912,47,11,006000,2,20
0011925,47,11,055000,1,59
0011936,47,09,016000,2,38
0011936,47,02,,2,08
0011998,47,13,000000,1,70
0011998,47,09,000000,2,66
0012065,47,09,033000,1,50
0012065,47,09,020000,2,41
0012065,47,04,,1,13
0012065,47,03,,1,12
0012073,47,12,028000,2,45
0012073,47,06,006700,1,16
0012073,47,04,,1,14
0012200,47,09,036000,1,56
0012200,47,09,000000,2,55
0012214,47,13,000000,1,59
0012230,47,09,059000,1,54
0012230,47,09,000000,2,45
0012270,47,13,015300,2,33
0012276,47,13,073000,1,44
0012276,47,09,034000,2,36
0012276,47,01,,2,04
0012276,47,00,,2,02
0012276,47,05,002500,1,17
0012330,47,09,000000,1,66
0012330,47,06,005900,2,64
0012370,47,06,005600,2,76
0012450,47,09,000000,1,69
0012450,47,09,000000,2,65
0012481,47,09,024000,2,48
0012552,47,10,001000,2,43
0012635,47,04,000000,2,89
0012669,47,13,100000,1,42
0012669,47,10,000000,2,40
0012669,47,03,,1,11
0012669,47,02,,2,09
0012706,47,11,000000,2,86
0012755,47,09,000000,2,82
0012847,47,09,000000,2,77
0012939,47,09,056000,1,56
0012939,47,12,025800,2,59
0012939,47,11,000000,2,28
0012939,47,09,000000,1,24
0012939,47,01,,2,03
0012939,47,00,,1,00
0012939,47,12,030000,1,27
0012988,47,14,024600,1,31
0012988,47,13,000000,2,28
0012988,47,01,,1,03
0012988,47,00,,1,02
0012988,47,00,,1,01
0012991,47,09,024000,2,28
0012991,01,01,,1,09
0012991,10,11,030000,1,28
0013145,47,09,023000,2,23
0013145,47,09,025000,1,22
0013374,47,11,000000,1,56
0013374,47,13,020000,1,26
0013425,47,11,025000,1,39
0013426,47,04,309000,1,30
0013426,47,04,000000,2,26
0013426,47,00,,1,01
0013426,47,00,,2,00
0013441,47,04,000000,2,93
0013448,47,09,000000,1,62
0013448,47,04,000000,2,56
0013448,47,04,000000,1,15
0013448,47,04,,1,14
0013448,47,12,000000,2,93
0013451,47,06,000000,2,84
0013587,47,10,000000,1,68
0013587,47,09,006300,2,66
0013638,47,13,015000,2,46
0013685,47,06,000000,2,66
0013713,47,11,000000,1,62
0013713,47,09,004600,2,61
0013713,47,11,012000,1,22
0013763,47,13,010500,2,25
