serial_no,race,education,income,gender,age
0042214,47,09,052000,1,51
0042734,47,11,000000,1,77
0042734,47,10,000000,1,73
0042842,47,16,000000,1,67
0042842,47,11,000000,2,59
0043241,47,11,051000,1,52
0043241,47,11,020500,2,55
0043327,37,11,018000,1,69
0043327,37,09,000630,2,67
0043513,47,12,018000,2,42
0043702,47,11,048000,1,35
0043702,47,02,,1,03
0043702,47,02,,1,09
0043702,47,02,,2,07
0043702,47,02,,2,07
0043720,15,07,000000,2,57
0043783,47,09,000000,2,67
0043820,47,13,067000,1,49
0043820,47,13,070000,2,52
0043820,47,05,000000,2,16
0043820,47,07,000000,2,17
0043903,47,09,030000,2,48
0043987,47,09,069000,1,33
0043987,47,11,002500,2,31
0043987,47,02,,2,09
0043987,47,01,,1,04
0043995,47,12,058000,1,35
0043995,47,11,000000,2,33
0044170,47,15,033600,2,41
0044170,47,03,,2,13
0044170,47,03,,1,13
0044184,47,10,047000,2,40
0044184,47,07,004000,2,18
0044184,47,06,000000,2,16
0044253,47,09,013000,2,27
0044253,47,11,015000,2,31
0044343,47,12,000000,1,48
0044343,47,09,020000,1,43
0044354,47,09,000000,2,74
0044371,47,11,000000,1,68
0044379,47,13,036000,1,54
0044379,47,09,015700,2,55
0044468,47,15,063000,1,33
0044468,47,10,089000,2,31
0044468,47,02,,1,05
0045618,47,12,080000,1,51
0045618,47,09,097000,2,51
0045618,47,09,026000,1,23
0045618,47,04,,2,13
0045869,47,05,012000,2,28
0045869,47,02,,1,10
0045869,47,02,,1,07
0045869,47,00,,2,02
0045869,47,00,,2,01
0045869,47,08,000000,1,29
0045869,47,08,005000,1,25
0045869,47,02,015900,2,65
0046207,47,06,000000,2,53
0046207,47,06,062000,1,32
0046207,47,06,041000,1,30
0046249,47,07,000000,1,80
0046643,37,09,022000,1,21
0046721,47,01,000000,1,86
0046755,37,12,024000,1,41
0046755,15,12,000550,2,41
0046755,15,02,,2,11
0046755,15,09,000000,2,77
0046813,47,08,021000,1,40
0046813,47,05,000000,1,16
0046990,47,11,000000,1,51
0046990,47,12,082000,2,53
0047006,47,13,000000,1,53
0047006,47,09,000000,2,51
0047139,47,11,000000,1,58
0047139,47,11,000000,2,65
0047212,01,10,043000,1,30
0047212,01,08,000000,2,16
0047212,47,00,,2,00
0047342,47,09,014000,2,27
0047602,47,09,062000,1,36
0047602,47,06,000000,2,15
0047602,47,03,,1,13
0047602,47,09,009500,2,37
0048367,47,10,037000,2,43
0048367,47,04,,2,14
0048367,47,10,035000,1,35
0048367,47,09,000000,2,35
0048367,47,04,,1,14
0048617,47,09,000000,1,92
0048617,47,09,000000,2,92
0048712,15,09,010800,1,41
0048712,15,11,018000,2,40
0048712,15,05,,2,14
0048712,15,00,,1,00
0048712,15,04,,1,14
0048712,15,03,,2,12
0048712,15,09,000000,1,85
0048865,47,10,016100,2,43
0048991,47,13,072000,1,42
0048991,47,09,013000,2,41
0048991,47,07,007100,2,17
0048991,47,04,,1,14
0049024,47,11,000850,2,66
0049024,47,10,017000,1,68
0049045,47,09,007600,2,28
0049045,47,02,,1,06
0049045,47,12,042000,1,29
0049510,47,07,007600,2,25
0049510,53,01,,1,05
0049510,47,01,,2,03
0049510,01,08,020000,1,27
0049845,47,06,035000,1,49
0049845,47,09,018000,2,46
0049845,47,05,017000,2,21
0049845,47,09,017000,2,22
0050016,47,08,016400,1,39
0050016,47,09,000000,2,39
0050016,47,06,003000,2,17
0050035,47,09,040000,1,45
0050155,47,11,002700,1,44
0050155,47,09,010000,2,42
0050155,47,03,,2,11
0050251,68,09,032000,1,25
0050251,37,02,,2,03
0050251,37,00,,1,01
