serial_no,race,education,income,gender,age
0010900,47,06,000000,1,16
0010900,47,03,,2,11
0011032,37,09,114000,1,38
0011032,37,08,006500,2,45
0011032,37,03,,2,12
0011068,47,10,000000,2,77
0011068,47,10,000000,1,93
0011081,38,08,000000,1,46
0011096,47,09,018200,2,22
0011096,47,00,,2,01
0011173,32,13,005000,2,61
0011173,32,11,015300,2,36
0011216,47,09,014000,2,40
0011216,47,07,000000,1,35
0011224,47,09,033700,1,43
0011311,37,09,014500,1,33
0011311,37,09,008500,2,42
0011331,47,09,015600,1,35
0011348,47,09,000000,1,70
0011348,47,09,000000,2,64
0011586,47,13,061000,1,59
0011586,47,09,006500,2,58
0011586,47,13,027000,1,24
0011602,47,09,012000,1,61
0011602,47,10,017000,2,57
0011712,47,11,027500,1,57
0011712,47,09,000000,2,55
0011712,47,11,007000,2,23
0011779,37,08,000000,2,31
0011779,37,06,,1,14
0011779,37,01,,2,03
0011780,37,06,010000,2,55
0011780,37,09,000000,2,32
0011879,37,06,000000,1,40
0011912,47,09,017500,1,70
0011912,47,09,000000,2,71
0011925,37,09,009600,1,20
0011936,37,05,016800,2,36
0011936,37,09,002900,2,19
0011936,37,04,000000,1,15
0011936,37,03,,2,10
0011998,47,09,028500,1,57
0011998,47,09,012500,2,56
0011998,47,09,001800,2,31
0011998,47,02,,2,08
0012200,47,09,048500,1,38
0012218,37,04,000000,2,75
0012218,37,09,070000,1,55
0012230,47,05,000000,1,45
0012270,47,08,000000,2,75
0012276,37,07,000000,1,67
0012370,47,09,019900,1,50
0012370,47,09,012000,1,21
0012370,47,04,000000,1,15
0012552,47,09,036000,1,49
0012552,47,09,008400,2,38
0012552,47,01,,2,04
0012552,47,04,,1,14
0012635,37,03,000000,2,80
0012635,37,03,006600,2,75
0012669,37,04,000000,2,65
0012706,47,09,000000,2,78
0012706,47,11,015300,2,47
0012988,37,09,026400,1,48
0012988,37,09,007000,2,22
0012988,37,05,000000,1,15
0012988,37,02,,1,05
0012988,37,00,,2,02
0012988,37,09,017900,2,47
0012991,47,13,074000,1,35
0012991,47,11,022000,2,35
0012991,47,02,,1,10
0012991,47,02,,1,04
0013145,47,13,000000,1,41
0013145,47,11,000000,2,37
0013374,37,11,023100,1,31
0013374,37,09,016500,2,29
0013426,37,11,000000,1,49
0013441,47,03,000000,2,72
0013448,47,10,026300,1,28
0013451,47,04,014000,1,44
0013451,47,09,016600,2,41
0013451,47,04,000000,1,16
0013451,47,02,,2,10
0013577,47,11,049000,1,55
0013577,47,11,003000,2,25
0013577,47,06,000000,2,17
0013577,47,04,000000,2,15
0013685,47,02,000000,1,69
0013685,47,02,000000,2,63
0013685,47,09,013000,2,38
0013685,47,02,,2,08
0013713,47,13,027500,2,53
0013713,47,04,000000,1,15
0013763,47,09,000000,1,61
0013763,47,13,000000,2,88
0013778,47,14,020600,2,66
0013863,37,01,004800,1,25
0013868,37,15,319000,1,39
0013871,37,09,000000,1,30
0013949,37,11,007500,2,40
0013949,37,04,,2,14
0013992,47,05,000000,2,81
