serial_no,race,education,income,gender,age
0025185,37,11,011300,2,40
0025185,37,03,,1,13
0025185,37,02,,2,10
0025225,47,09,065000,1,38
0025225,47,11,035000,2,47
0025225,47,06,000000,1,17
0025225,47,06,000000,2,22
0025225,47,06,005700,1,17
0025225,47,00,,2,01
0025278,37,06,000000,2,93
0025405,37,09,020000,2,35
0025405,37,03,,1,12
0025405,37,02,,2,09
0025405,37,02,,1,07
0025405,37,09,021000,1,44
0025416,37,06,000000,1,73
0025416,37,05,000000,2,70
0025416,37,09,000000,1,81
0025601,37,09,000000,1,40
0025711,47,04,021500,1,57
0025711,47,09,000000,2,59
0025751,37,09,008600,2,22
0025751,37,02,,2,07
0025814,47,09,015200,1,62
0025814,47,09,000000,2,62
0025959,37,10,000000,2,54
0025959,37,07,000000,1,52
0025959,37,10,010000,2,24
0025959,37,05,,2,13
0025959,37,02,,2,06
0025959,37,02,,1,05
0025959,37,02,,2,04
0025959,37,00,,2,02
0025962,47,09,029000,1,53
0025962,47,12,000000,2,54
0026144,37,09,014000,2,23
0026144,37,02,,1,05
0026144,37,09,000000,1,23
0026183,47,15,035600,1,49
0026183,47,11,032000,2,41
0026291,47,13,002500,2,83
0026318,47,06,000000,1,80
0026318,47,03,043300,2,67
0026324,37,09,000000,1,60
0026500,47,09,030000,1,54
0026500,47,09,000000,2,52
0026622,47,09,052000,1,76
0026622,47,06,051000,2,67
0026719,37,13,044000,2,33
0026719,37,00,,2,02
0026719,37,12,006000,2,31
0026777,47,05,000000,1,68
0026777,47,09,000000,2,47
0026777,47,09,000000,1,38
0026777,47,09,001500,2,25
0026797,37,10,019000,2,57
0026797,37,13,024000,2,37
0026797,37,05,000000,1,16
0026797,37,00,,1,01
0026826,47,11,000000,2,80
0026829,47,11,028000,2,43
0026829,47,03,,1,13
0026829,47,02,,2,11
0026904,47,09,017000,2,35
0026904,47,07,000000,1,17
0026916,47,09,000000,2,35
0027213,47,09,052000,1,41
0027213,47,09,015000,2,41
0027213,47,09,003000,1,18
0027213,47,04,000000,2,17
0027213,47,02,,1,11
0027265,37,12,034000,2,35
0027265,37,13,036000,1,39
0027265,37,00,,2,02
0027367,47,13,023000,2,24
0027367,47,02,,1,04
0027367,47,09,000000,2,23
0027458,47,06,018700,1,34
0027458,47,09,018700,2,54
0027458,47,01,000000,2,71
0027689,47,13,041300,2,43
0027715,37,08,000000,1,40
0027822,47,09,005000,1,63
0027822,47,09,000000,2,60
0027849,47,09,050000,1,34
0027849,47,07,000000,2,24
0027849,47,01,,1,03
0027851,47,12,042000,1,51
0027851,47,09,002500,2,58
0027949,37,01,000000,1,93
0028280,37,13,013300,2,26
0028321,47,09,150000,1,31
0028321,47,12,016500,2,29
0028321,47,02,,1,06
0028321,47,01,,1,05
0028321,47,01,,1,03
0028432,47,13,000000,1,79
0028432,47,13,000000,2,72
0028449,37,06,000000,1,53
0028449,37,09,000000,2,50
0028509,47,11,040000,1,44
0028509,47,11,023000,2,45
0028509,47,05,000000,2,15
0028626,47,06,042000,1,55
0028626,47,07,015300,2,48
0028626,47,07,010000,1,17
0028701,37,06,000000,2,43
0028701,37,03,,1,11
0028990,37,13,000000,2,82
0028990,37,11,013500,1,23
0029069,47,12,023000,1,25
0029069,47,13,023500,2,25
0029069,47,00,,1,00
0029077,47,10,031000,1,50
0029077,47,09,031000,2,48
0029207,47,09,000000,1,69
0029207,47,12,040000,2,59
0029207,47,09,004000,1,38
0029219,47,06,000000,2,76
0029226,47,13,041000,1,31
0029226,47,10,024000,2,28
0029226,47,02,,1,03
0029226,47,00,,2,00
0029243,47,09,000000,2,81
0029299,37,09,000960,2,23
0029299,37,09,021700,1,39
0029366,47,09,011600,1,34
0029366,47,11,000000,1,48
0029366,66,05,000000,2,41
0029383,47,09,000000,1,65
0029383,47,11,000000,2,51
0029416,47,09,000000,1,61
0029416,47,09,000000,2,57
0029504,47,07,012000,2,28
0029504,47,02,,2,08
0029504,47,02,,2,05
0029504,47,00,,2,02
0029549,47,11,028000,2,27
0029549,47,02,,2,09
0029732,47,11,012500,1,24
0029732,47,13,013000,2,24
0029732,47,02,,2,06
0029732,47,00,,2,00
0029934,47,09,027000,1,31
0029934,47,09,019000,2,30
0029934,47,03,,1,12
0029934,47,02,,2,08
0029934,47,01,,2,05
0030136,47,08,000000,1,74
0030136,47,08,000000,2,70
0030138,37,13,032100,1,50
0030138,37,11,027000,2,49
0030166,47,06,009100,2,35
0030166,47,03,,1,12
0030241,47,09,005100,1,39
0030241,47,07,028300,2,38
0030241,47,11,006700,2,20
0030241,47,03,,1,13
0030241,47,02,,1,12
0030290,37,06,000000,2,41
0030451,47,09,018000,2,28
0030451,47,11,065000,1,33
0030451,47,01,,1,05
0030582,37,11,002000,2,19
0030610,47,09,000000,1,71
0030610,47,11,000000,2,67
0030928,37,10,005000,2,33
0030928,37,02,,1,10
0030928,37,02,,2,08
0030928,37,02,,1,04
0030928,37,09,000000,1,19
0030928,37,11,024500,1,33
0031031,47,05,000000,1,37
0031041,37,11,005000,2,47
0031150,47,09,000000,2,83
0031174,66,09,000000,1,37
0031174,47,11,023000,2,35
0031174,47,02,,2,09
0031243,37,04,011000,2,49
0031243,37,05,000000,1,51
0031243,37,03,,1,13
0031243,37,02,,2,10
0031284,47,11,008000,2,29
0031284,47,02,,2,07
0031372,47,09,000000,2,27
0031372,47,01,,2,05
0031397,47,09,030000,1,47
0031397,47,09,008300,2,43
0031397,47,07,004900,1,17
0031477,37,11,000000,1,56
0031477,37,14,028000,2,50
0031506,37,09,030300,2,50
0031530,47,02,000000,2,61
0031662,47,12,022800,1,41
0031662,47,13,034700,2,37
0031662,47,02,,2,07
0031927,47,09,029100,1,46
0031927,47,08,011000,2,40
0031927,47,06,000000,1,16
0031927,47,04,000000,2,15
0031927,47,02,,1,09
0032194,37,01,000000,2,64
0032194,37,09,000000,2,26
0032194,37,02,,1,11
0032194,37,02,,1,11
0032194,37,02,,1,10
0032194,37,02,,1,09
0032194,37,02,,2,09
0032194,37,02,,1,05
0032194,37,02,,2,03
0032194,37,00,,2,00
0032278,47,09,029000,1,36
0032278,47,09,020000,2,36
0032278,47,06,,1,14
0032278,47,00,,2,02
0032348,47,13,000000,1,68
0032366,47,11,018100,1,40
0032366,47,09,016300,2,50
0032500,37,11,011000,1,58
0032500,37,12,013000,2,48
0032535,47,09,000000,1,32
0032615,47,09,030000,1,45
0032615,47,06,016000,2,37
0032615,47,05,000600,1,17
0032943,37,11,016600,1,45
0032943,37,09,000000,2,41
0032943,37,04,000000,2,15
0032943,37,02,,1,09
0032943,37,02,,1,09
0032978,37,10,000000,2,22
0032981,37,13,000000,2,76
0032982,37,11,030000,1,28
0032982,37,12,008000,2,28
0032982,37,01,,2,06
0032982,37,01,,2,03
0033079,37,09,000000,1,57
0033079,37,12,002000,2,52
0033208,47,13,000000,2,86
0033237,47,09,014600,2,40
0033237,47,04,028000,1,42
0033237,47,04,000000,1,15
0033237,47,04,,1,14
0033238,37,03,000000,1,89
0033289,47,10,020000,1,50
0033289,47,09,015000,2,55
0033387,37,08,018000,1,28
0033387,37,11,014000,2,33
0033387,37,05,000000,1,15
0033387,37,04,,1,12
0033387,37,02,,2,09
0033387,37,03,000000,1,67
0033563,47,12,027400,1,39
0033563,47,12,000000,2,37
0033563,47,04,000000,1,15
0033563,47,03,,1,13
0033563,47,02,,2,08
0033569,47,08,000000,2,78
0033718,47,13,000000,2,67
0033739,47,11,000000,1,65
0033739,47,10,000000,2,61
0033754,47,10,000000,2,20
0034042,47,06,000000,2,89
0034085,47,07,083000,1,52
0034085,47,06,000000,2,51
0034085,47,10,000000,2,22
0034085,47,05,000000,2,15
0034085,47,01,,2,03
0034129,37,08,000000,1,28
0034315,47,10,000000,1,48
0034315,47,09,000000,2,42
0034353,37,07,000000,1,48
0034353,37,02,,2,12
0034353,37,02,000000,2,84
0034353,37,09,011800,2,34
0034353,37,05,000000,1,18
0034353,37,04,000000,1,16
0034353,37,03,,2,14
0034365,47,08,020000,2,47
0034365,47,09,020000,1,32
0034431,37,01,000000,2,66
0034431,37,01,000000,1,63
0034431,37,01,000000,1,56
0034431,37,09,010000,2,25
0034431,37,01,,1,05
0034431,37,00,,2,00
0034446,47,04,000000,1,70
0034446,47,10,000000,2,76
0034528,37,13,000000,2,56
0034683,47,09,026000,1,34
0034683,47,11,035000,2,32
0034683,47,02,,2,09
0034777,47,09,000000,1,37
0034777,47,11,000000,2,30
0034777,47,02,,2,08
0034777,47,01,,2,04
0034777,47,00,,1,02
0034783,47,09,016300,1,67
0034783,47,09,016100,2,63
0034783,20,11,013000,1,41
0034783,48,04,002400,1,34
0034789,47,14,000000,2,61
0034860,47,09,000000,2,83
0034899,37,11,020000,1,37
0034899,37,11,004800,2,37
0034899,37,05,000000,2,15
0034899,37,02,,1,10
0034934,47,13,000000,1,79
0034934,47,09,000000,2,78
0034970,47,11,100000,1,36
0034970,47,13,015000,2,25
0035006,47,09,329000,1,22
0035029,47,07,022900,1,30
0035029,47,11,025500,2,31
